Standort;Messzeitpunkt;Stunde;Wochentag;Wochentag ID;Kalenderwoche;Quartal;Lokale Zeitzone;Zeitintervall;Passantenaufkommen pro Standort;Richtung;Passantentyp;Passantenanzahl;ID;Kommune
Westenhellweg (Ost);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Hansastraße;Erwachsene;14;246;Dortmund
Westenhellweg (Ost);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Ostenhellweg;Erwachsene;25;246;Dortmund
Westenhellweg (Ost);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Ostenhellweg;Kinder;0;246;Dortmund
Westenhellweg (West);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Ostenhellweg;Erwachsene;60;575;Dortmund
Westenhellweg (West);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Westentor;Erwachsene;63;575;Dortmund
Westenhellweg (West);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (Mitte);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;67;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;67;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (West);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;207;Richtung - Ostenhellweg;Erwachsene;123;575;Dortmund
Westenhellweg (Ost);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Hansastraße;Erwachsene;36;246;Dortmund
Westenhellweg (Ost);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Hansastraße;Kinder;4;246;Dortmund
Westenhellweg (Ost);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Ostenhellweg;Kinder;2;246;Dortmund
Westenhellweg (Mitte);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Petrikirche;Erwachsene;48;49;Dortmund
Westenhellweg (West);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;207;Richtung - Westentor;Erwachsene;83;575;Dortmund
Westenhellweg (West);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;207;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;207;Richtung - Westentor;Kinder;1;575;Dortmund
Westenhellweg (Mitte);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Hansastraße;Erwachsene;75;49;Dortmund
Westenhellweg (Mitte);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;123;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Ost);2026-01-01T09:00:00+00:00;10;Donnerstag;4;1;1;Europe/Berlin;hour;92;Richtung - Ostenhellweg;Erwachsene;50;246;Dortmund
Westenhellweg (Mitte);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;223;Richtung - Petrikirche;Kinder;1;49;Dortmund
Westenhellweg (West);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;260;Richtung - Ostenhellweg;Erwachsene;137;575;Dortmund
Westenhellweg (West);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;260;Richtung - Ostenhellweg;Kinder;1;575;Dortmund
Westenhellweg (Ost);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;163;Richtung - Hansastraße;Kinder;2;246;Dortmund
Westenhellweg (West);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;260;Richtung - Westentor;Erwachsene;121;575;Dortmund
Westenhellweg (West);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;260;Richtung - Westentor;Kinder;1;575;Dortmund
Westenhellweg (Mitte);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;223;Richtung - Hansastraße;Erwachsene;105;49;Dortmund
Westenhellweg (Mitte);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;223;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Mitte);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;223;Richtung - Petrikirche;Erwachsene;117;49;Dortmund
Westenhellweg (Ost);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;163;Richtung - Hansastraße;Erwachsene;88;246;Dortmund
Westenhellweg (Ost);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;163;Richtung - Ostenhellweg;Erwachsene;72;246;Dortmund
Westenhellweg (Ost);2026-01-01T10:00:00+00:00;11;Donnerstag;4;1;1;Europe/Berlin;hour;163;Richtung - Ostenhellweg;Kinder;1;246;Dortmund
Westenhellweg (Mitte);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;196;Richtung - Hansastraße;Kinder;1;49;Dortmund
Westenhellweg (Mitte);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;196;Richtung - Petrikirche;Erwachsene;83;49;Dortmund
Westenhellweg (Mitte);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;196;Richtung - Petrikirche;Kinder;0;49;Dortmund
Westenhellweg (Ost);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;124;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Ost);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;124;Richtung - Ostenhellweg;Kinder;1;246;Dortmund
Westenhellweg (Ost);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;124;Richtung - Hansastraße;Erwachsene;52;246;Dortmund
Westenhellweg (West);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;203;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;203;Richtung - Westentor;Erwachsene;104;575;Dortmund
Westenhellweg (West);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;203;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;203;Richtung - Ostenhellweg;Erwachsene;99;575;Dortmund
Westenhellweg (Mitte);2026-01-01T11:00:00+00:00;12;Donnerstag;4;1;1;Europe/Berlin;hour;196;Richtung - Hansastraße;Erwachsene;112;49;Dortmund
